date,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
1/12/2021,227685,768150,207786,0.19,2.28,19472,2.08,7.69,,,,0.296,,
1/13/2021,291519,772150,259119,0.32,2.92,31937,2.59,7.73,63834,63834,6392,0.378,,
1/14/2021,327235,773650,286349,,3.28,,2.87,7.75,35716,49775,4984,0.423,,
1/15/2021,364182,773750,312415,0.49,3.65,48536,3.13,7.75,36947,45499,4556,0.471,,
1/16/2021,,,,,,,,,,41587,4164,,,
1/17/2021,,,,,,,,,,39240,3929,,,
1/18/2021,,,,,,,,,,37676,3773,,,
1/19/2021,483592,773750,417228,0.63,4.84,62780,4.18,7.75,,36558,3661,0.625,,
1/20/2021,508607,1031100,434402,0.71,5.09,70535,4.35,10.32,25015,31013,3105,0.493,,
1/21/2021,548844,1059275,463917,0.81,5.5,81014,4.65,10.61,40237,31658,3170,0.518,,
1/22/2021,595454,1094275,497958,0.93,5.96,92473,4.99,10.96,46610,33039,3308,0.544,,
1/23/2021,652661,1095675,536228,1.06,6.54,105890,5.37,10.97,57207,36947,3700,0.596,,
1/24/2021,695273,1095675,573167,1.11,6.96,111243,5.74,10.97,42612,38769,3882,0.635,,
1/25/2021,727437,1095675,599665,1.17,7.28,116840,6,10.97,32164,39100,3915,0.664,,
1/26/2021,742270,1289025,611090,1.2,7.43,119962,6.12,12.91,14833,36954,3700,0.576,,
1/27/2021,772031,1352100,629437,1.31,7.73,131282,6.3,13.54,29761,37632,3768,0.571,,
1/28/2021,814416,1359700,659118,1.44,8.15,143757,6.6,13.61,42385,37939,3799,0.599,,
1/29/2021,866663,1361500,695236,1.6,8.68,159723,6.96,13.63,52247,38744,3879,0.637,,
1/30/2021,922423,1362600,734903,1.75,9.24,175117,7.36,13.64,55760,38537,3859,0.677,,
1/31/2021,977030,1362600,772944,1.91,9.78,190777,7.74,13.64,54607,40251,4030,0.717,,
2/1/2021,1005544,1362600,794391,1.98,10.07,197770,7.95,13.64,28514,39730,3978,0.738,,
2/2/2021,1015483,1608250,801811,2.01,10.17,200265,8.03,16.1,9939,39030,3908,0.631,,
2/3/2021,1042268,1629000,814362,2.15,10.44,214234,8.15,16.31,26785,38605,3866,0.64,,
2/4/2021,1078808,1634000,835524,2.3,10.8,229373,8.37,16.36,36540,37770,3782,0.66,,
2/5/2021,1134175,1639575,866766,2.53,11.36,252963,8.68,16.42,55367,38216,3827,0.692,,
2/6/2021,1193181,1639575,896162,2.83,11.95,282345,8.97,16.42,59006,38680,3873,0.728,,
2/7/2021,1251940,1639575,924494,3.13,12.54,312240,9.26,16.42,58759,39273,3932,0.764,,
